nh,anh,panh,inh,n,an,pan,in,ix,a,h,pa,pah,p,mẽhp,s,wr,ixwr,awr,je,w,ixw,aw,jej,ak,k,amn,amnep,ahpa,xa,ko,nhỹ,amne,am,j
,,,,nywreta,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,pumunh,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,jam
nham,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,wam,,,,,,,,,,,,,,
,,,,,,,,,,ham,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,kam,,,,,,,,,
,,,,,,,,,,,,,pam,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,sam,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,panhõ,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,anhõ,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,wem,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,krem,,,,,,,,,
,,,,,,,,,,,,,prem,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,kax,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,krax,,,,,,,,,
,,,,,,,,,,hkrax,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,pawre,,,,,,,,,,,,,,,,,,,,,,,
,,,,nywre,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,akutã,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,kutã,,,,,,,,,
,,,,,,,,,akõn,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,pahkõn,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,ixkõn,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,hkõn,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,ixtẽm,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,htẽm,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,atẽm,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,akrĩ,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,pahkrĩ,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,hkrĩ,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,ixkrĩ,,,,,,,,,,,,,,,,,,,,,,,,,,
nhãnh,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,hãnh,,,,,,,,,,,,,,,,,,,,,,,,
,,,,nẽtãnh,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,prãm,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,krãm,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,akrãm,,,,,,,,,,
,,,,,,,,,,hkukjêr,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,akukjêr,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,ixkukjêr,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,nywja,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,satre,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,patre,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,pamjaja,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,ixkre,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,hkre,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,ahkre,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,pahwỳr,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,akuprõ,,,,,,,,,,
,,,,,,,,,akuprõ,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,pahtõ,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,atõ,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,ixtõ,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,htõ,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,panhõ,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,jãã
,,,,,,,,,,,,,,,,,,,,,,,,,kamãã,,,,,,,,,
,,,inhĩgêtjê,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,anhĩgêtjê,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
nhĩgêtjê,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,panhĩgêtjê,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,nire,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,pahpê,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,pahpê,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,ahto,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,pahto,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,pahto,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,agjê,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,akukja,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,kukja,,,,,,,,,
,,,,,,,,,akukja,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,ixkukja,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,hkukja,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,pahkukja,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,pahprĩ,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,aprĩ,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,ixprĩ,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,hprĩ,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,kwrỳ,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,akute,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,kute,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,amnepê,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,amnepê,
,,,,,,,,,amnepê,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,panhõja,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,inhõja,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,anhõja,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,nhõja,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,amgrà,
,,,,,,,,,agrà,,,,,,,,,,,,,,,,,,,,,,,,,
,anhgrà,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,amgrà,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,jut
,,,,,,,,,axkrut,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,nojarêt,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,panojarêt,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,anojarêt,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,pan,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,amrakati,
,,,,,,,,,,,,,,,,,,,,,,,,akupỹn,,,,,,,,,,
,,,,,,,,,akupỹn,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,axwỳr,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,paxwỳr,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,kwỳja,,,,,,,,,
,,,,,,,,,,haxwỳja,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,pahpyrà,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,apyrà,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,ixpyrà,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,hpĩr,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,apĩr,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,ixpĩr,,,,,,,,,,,,,,,,,,,,,,,,,,
,anhõrkwỹ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,panhõrkwỹ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
nhõrkwỹ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,inhõrkwỹ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,anhõrkwỹ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,panhõrkwỹ,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,nhõrkwỹ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,inhõrkwỹ,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,ixkreja,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,hkreja,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,kapem,,,,,,,,,
,,,,,,,,,,hêxta,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,paa,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,waa,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,jaa
,,,,,,,,,,,pamex,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,amex,,,,,,,,,,,,,,,,,,,,,,,,,
,,,inhmex,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,ixàptàr,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,paxàptàr,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,axàptàr,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,hpumu,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,pahpumu,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,apumu,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,ixpumu,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,ahpỹnhã,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,ixwỳ,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,awỳ,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,akwỳ,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,kwỳ,,,,,,,,,
,,,,,,,,,,hwỳ,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,pahwỳ,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,axwa,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,kuxwa,,,,,,,,,
,,,,,,,,ixkuxwa,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,hkuxwa,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,ixkwỳ,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,pahkwỳ,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,hkwỳ,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,akwỳ,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,kuxware,,,,,,,,,
,,,,nore,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,kore,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,kàxpore,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,akàxpore,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,kamàt,,,,,,,,,
,,,,,,,,,,hikwỹ,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,amỹti,
,,,,,,,,,amỹti,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,ixpimtir,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,hpimtir,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,amrar,
,,,,,,,,,,,pamrar,,,,,,,,,,,,,,,,,,,,,,,
,,,inhmrar,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,amrar,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,nata,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,wata,,,,,,,,,,,,,,
,,,,,,,,,,,,,pata,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,akrata,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,krata,,,,,,,,,
,,,,,,,,,,hkrata,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,ixkrata,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,akrata,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,jarĩ
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,amarĩ,
,,,,,,,,,,harĩ,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,sarĩ,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,kwarĩ,,,,,,,,,
,,,,,,,,,,,,,pry,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,kry,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,awry,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,kànhmã,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,amjên,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,amỹnê,
,,,,,,,,,amỹnê,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,pôristi,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,akwỳjaja,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,kwỳjaja,,,,,,,,,
,,,inhmõr,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,amõr,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,pamõr,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,amnẽ,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,amẽ,,,,,,,,,,,,,,,,,,,,,,,,,
,,,inhmẽ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,awryy,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,kanã,,,,,,,,,
,,,,,,,,,,,,,panã,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,janã
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,jagri
,,,,,,,,,,,,,pijagri,,,,,,,,,,,,,,,,,,,,,
,,,,nõrja,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
nhõrja,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,hyk,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,pahtyk,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,htyk,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,atyk,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,ixtyk,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,arãhã,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,ixrãhã,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,jarãhã
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,jakew
,,,,,,,,,,,pahwỳ,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,ahwỳ,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,pahijaja,,,,,,,,,,,,,,,,,,,,,,
,,,,,anijaja,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,nijaja,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,hamak,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,jamak
,,,,,,,,,,himex,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,pat,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,pasja,,,,,,,,,,,,,,,,,,,,,,,
,,,inhni,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,kajê,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,jajê
,,,,,,,,,,,,,,,,,,,,,,,,,krajê,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,akrajê,,,,,,,,,,
,,,,,,,,ixkrajê,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,akrajê,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,hkrajê,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,pahkrajê,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,ixàmnhĩx,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,kumẽ,,,,,,,,,
,,,,,,,,,,,,,pôx,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,apôx,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,hpôx,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,ixpôx,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,pahpôx,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,htêp,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,akêrawja,,,,,,,,,,
,,,,,,,,,,,,,pyma,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,juk
,,,,,,,,,,huk,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,akuk,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,kuk,,,,,,,,,
,,,,najare,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,amnhĩm,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,amnhĩm,
,,,,,,,,,amnhĩm,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,juãw
,,,,,,,,,,,paxisja,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,paxisja,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,krĩm,,,,,,,,,
,,,,,,,,,,hpu,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,apu,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,amỳm,
,,,,,,,,,amỳm,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,hpôt,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,kapôt,,,,,,,,,
,,,,,,,,,,,,pahihtija,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,akutêp,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,kutêp,,,,,,,,,
,,,,,,,,,,,pahti,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,pahihti,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,pahihti,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,pahihti,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,paxis,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,paxis,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,ixprãm,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,aprãm,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,hprãm,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,komo,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,ker,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,kamer,,,,,,,,,
,,,,,,,,,,hagjê,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,jagjê
,,,,,,,,ixkà,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,hkà,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,akà,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,pahkà,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,pur,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,sur,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,kur,,,,,,,,,
,,,,,,,,,,,,,pyhti,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,atãw,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,jotãw
,,,,noo,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,panoo,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,anoo,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,akatut,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,katut,,,,,,,,,
,,,,,,,,,,,,pahkrã,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,ixkrã,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,akrã,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,hkrã,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,pãr,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,prãr,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,kumrãr,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,kumrã,,,,,,,,,
,,,,,,,,,,,parijew,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,parijew,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,satusew,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,akĩnhã,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,kĩnhã,,,,,,,,,
,,,,,,,,ixkĩnhã,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,hkĩnhã,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,pahkĩnhã,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,akĩnhã,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,pix,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,japê
,,,,,,,,,,,,,,,,,,,,,,,,,kapê,,,,,,,,,
,,,,,,,,,,hapê,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,pahtomnuj,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,ixtomnuj,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,atomnuj,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,pimxur,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,ixpimxur,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,hpimxur,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,apimxur,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,kaprỳ,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,japrỳ
,,,,,,,,,,haprỳ,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,htem,,,,,,,,,,,,,,,,,,,,,,,,
nhĩpêxre,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,pikap,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,kẽnre,,,,,,,,,
nhĩkwỹ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,inhĩkwỹ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,panhĩkwỹ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,anhĩkwỹ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,nhĩkwỹ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,inhĩkwỹ,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,panhĩkwỹ,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,anhĩkwỹ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,hpàr,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,pahpàr,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,ixpàr,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,ixyr,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,pyr,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,hyr,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,krãhyr,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,kuwy,,,,,,,,,
,,,,,,,,,,,panhĩpêx,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,anhĩpêx,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,jao
,,,,,,,,,ajamak,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,pajamak,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,apumunh,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,pahpumunh,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,ixpumunh,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,jakrenh
